cst_dim_id,transdate,transdatetime,amount,docno,direction,target
1001,2024-01-15,2024-01-15 10:30:00,150.50,DOC001,outgoing,0
1002,2024-01-15,2024-01-15 14:45:00,2500.00,DOC002,incoming,0
1003,2024-01-16,2024-01-16 09:15:00,75.25,DOC003,outgoing,0
1001,2024-01-16,2024-01-16 23:59:00,9999.99,DOC004,outgoing,1
1004,2024-01-17,2024-01-17 11:00:00,500.00,DOC005,incoming,0
1005,2024-01-17,2024-01-17 16:30:00,1250.75,DOC006,outgoing,0
1002,2024-01-18,2024-01-18 08:00:00,50.00,DOC007,outgoing,0
1006,2024-01-18,2024-01-18 22:45:00,8500.00,DOC008,outgoing,1
1003,2024-01-19,2024-01-19 12:30:00,325.50,DOC009,incoming,0
1007,2024-01-19,2024-01-19 15:00:00,175.00,DOC010,outgoing,0
